2015-11-16 18:38:13.025 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:13.025 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:13.025 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - sports, matched with: sports[Clothing]
2015-11-16 18:38:13.040 [main] DEBUG  - business, matched with: business[The Daily Tar Heel]
2015-11-16 18:38:13.040 [main] DEBUG  - business, matched with: business[The Daily Tar Heel]
2015-11-16 18:38:13.040 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.040 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - luxury, matched with: luxury[jewelry]
